Label_en;Label_es;P2:string;P29:string;P76:string;P39:wikibase-item;P50:wikibase-item;P48:globe-coordinate
Port of Pontevedra;Puerto de Pontevedra;Pontevedra;;Comunidad Autónoma;Q70;Q277;42.435256,-8.649815,0.000001
Port of Bueu;Puerto de Bueu;Bueu;ESBUE;Comunidad Autónoma;Q70;Q278;42.328911,-8.784404,0.000001
Port of Cangas de Morrazo;Puerto de Cangas de Morrazo;Cangas de Morrazo,,Cangas;ESRAN;Comunidad Autónoma;Q70;Q279;42.259915,-8.782605,0.000001
Port of Santa Cristina de Cobres;Puerto de Santa Cristina de Cobres;Santa Cristina de Cobres;;;Q70;Q279;42.318943,-8.648309,0.000001
Port of San Adrían;Puerto de San Adrián;San Adrián,,San Adrían de Cobres;;Comunidad Autónoma;Q70;Q279;42.302484,-8.655380,0.000001
Port of Panjón;Puerto de Panjón;Panjón;;Comunidad Autónoma;Q70;Q279;42.142444,-8.824732,0.000001
Port of Meira;Puerto de Meira;Meira;;Comunidad Autónoma;Q70;Q279;42.282368,-8.719810,0.000001
Port of Moaña;Puerto de Moaña;Moaña;ESMOA;Comunidad Autónoma;Q70;Q279;42.274126,-8.735162,0.000001
Port of Aldán;Puerto de Aldán;Aldán,,Aldan-Hio;;Comunidad Autónoma;Q70;Q279;42,281934,-8,822294,0,000001
Port of Vigo;Puerto de Vigo;Vigo;ESVGO;Administración General del Estado;Q70;Q280;42.229905,-8.749920,0.000001
Port of Bouzas;Puerto de Bouzas;Bouzas;;;Q70;Q280;42.228761,-8.751635,0.000001
Port of Bayona;Puerto de Bayona;Bayona;;;Q70;Q281;42.118912,-8.846055,0.000001
Port of La Guardia;Puerto de La Guardia;La Guardia;;Comunidad Autónoma;Q70;Q282;41.899419,-8.876607,0.000001
Port of Tuy;Puerto de Tuy;Tuy,,Tui;ESTUI;Comunidad Autónoma;Q70;Q282;42.041147,-8.643609,0.000001
Port of Redondela;Puerto de Redondela,,Cesantes;Redondela,,Cesantes;;Comunidad Autónoma;Q70;Q283;42.295014,-8.616238,0.000001
Port of Arcade;Puerto de Arcade;Arcade,,Sotomayor;;Comunidad Autónoma;Q70;Q283;42.339667,-8.614605,0.000001
Port of Ribeira;Puerto de Ribeira;Ribeira;ESRBI;Comunidad Autónoma;Q70;Q284;42.560160,-8.989415,0.000001
Port of Carreira-Aguiño;Puerto de Carreira-Aguiño;Carreira-Aguiño,,Aguiño;;Comunidad Autónoma;Q70;Q284;42.520154,-9.017754,0.000001
Port of Puebla del Caramiñal;Puerto de Puebla del Caramiñal;La Puebla del Caramiñal,,Pobra do Caramiñal;ESPCA;Comunidad Autónoma;Q70;Q285;42.608396,-8.933034,0.000001
Port of Cabo de Cruz;Puerto de Cabo de Cruz;Cabo de Cruz - Boiro,,Cabo de Cruz,,Boiro;;Comunidad Autónoma;Q70;Q285;42.616440,-8.889122,0.000001
Port of Villagarcía de Arosa;Puerto de Villagarcía de Arosa;Villagarcía de Arosa,,Villagarcia de Arosa;ESVIL;Administración General del Estado;Q70;Q286;42.595831,-8.772080,0.000001
Port of Villajuan;Puerto de Villajuan;Villajuan,,Vilaxoán;;Comunidad Autónoma;Q70;Q286;42.588892,-8.790789,0.000001
Port of Rianjo;Puerto de Rianjo;Rianjo,,Rianxo;;Comunidad Autónoma;Q70;Q286;42.647543,-8.823798,0.000001
Port of Pontecesures;Puerto de Pontecesures;Pontecesures;ESZJU;Comunidad Autónoma;Q70;Q286;42.722245,-8.654458,0.000001
Port of Isla de Arosa;Puerto de Isla de Arosa;Isla de Arosa,,Illa de Arousa;;;Q70;Q286;42.565234,-8.867063,0.000001
Port of Corrubedo;Puerto de Corrubedo;Corrubedo;;Comunidad Autónoma;Q70;Q286;42.573184,-9.071275,0.000001
Port of Carril;Puerto de Carril;Carril;ESCIL;Comunidad Autónoma;Q70;Q286;42.614395,-8.778049,0.000001
Port of El Grove/Isla de la Toja;Puerto de El Grove;El Grove;ESEGR;Comunidad Autónoma;Q70;Q287;42.496447,-8.862034,0.000001
Port of Cambados;Puerto de Cambados,,Tragove;Cambados,,Tragove;ESCBD;Comunidad Autónoma;Q70;Q288;42.518518,-8.824874,0.000001
Port of Villanueva ;Puerto de Villanueva;Villanueva,,Villanueva de Arosa;;Comunidad Autónoma;Q70;Q288;42.563841,-8.831675,0.000001
Port of Suances;Puerto de Suances;Suances;;;Q70;Q150;43.429957,-4.034804,0.000001
Port of Premiá De Mar;Puerto de Premiá De Mar;Premiá De Mar;;;Q70;Q203;41.488581,2.366040,0.000001
Port of Canido;Puerto de Canido;Canido,,Cánido;;Comunidad Autónoma;Q70;Q280;42.194284,-8.800711,0.000001
Port of Rinlo;Puerto de Rinlo;Rinlo;;Comunidad Autónoma;Q70;Q242;43.558141,-7.104507,0.000001
